"","FruMARCM-M001205_seg002","GadMARCM-F000122_seg001","GadMARCM-F000050_seg001","GadMARCM-F000142_seg002","FruMARCM-F000270_seg001","FruMARCM-F001115_seg002","FruMARCM-M001051_seg002","GadMARCM-F000423_seg001","ChaMARCM-F000586_seg002","FruMARCM-M001339_seg001","GadMARCM-F000476_seg001","FruMARCM-F000085_seg001","FruMARCM-F000706_seg001","FruMARCM-M000842_seg002","FruMARCM-F001494_seg002","FruMARCM-F000188_seg001","GadMARCM-F000071_seg001","FruMARCM-M000115_seg001","GadMARCM-F000442_seg002","FruMARCM-F001929_seg001"
"FruMARCM-M001205_seg002",3234.54124956945,36.8044132856002,-935.337716136062,-251.499855779682,-460.009629286996,-457.453249488965,-507.311569998649,-1005.80480642276,-518.33692571716,-737.856413851729,-562.493252186865,-492.909625178114,-1106.20778959373,-1086.74069365421,-368.59975004631,-1241.61404740416,801.871241937642,679.207644971124,270.262829386855,-349.35571087575
"GadMARCM-F000122_seg001",743.025696789751,3382.60123634551,-515.533762420976,-262.235165872159,-145.258812586307,-200.358361089519,-757.422405568224,-419.679783659824,-509.458676216678,181.941733132285,268.309683247089,1485.55898196376,-225.08449850147,-396.438203796622,-739.719791585948,-1132.40391980758,1430.1117372435,1020.57171488964,931.744638806431,-195.736110123255
"GadMARCM-F000050_seg001",125.68989390844,244.925939300642,4259.57192724991,480.414583395714,2048.01758665068,2068.518075421,1278.6868830106,1359.49507074576,-15.2867710198286,3403.75462122661,-313.24727521862,73.7418626221811,3277.87783233743,3122.69555345817,2656.70773125986,1487.45673459648,301.639024777118,360.641374302873,23.534543125768,2849.13646805154
"GadMARCM-F000142_seg002",1132.11020952248,212.542494588495,309.926512857505,4043.17656196181,334.380284317098,323.524942433519,133.640286281156,1388.42733915112,2217.84395464143,379.825831245182,813.255918893705,1824.33006765853,21.9916643816008,-121.521288505082,742.027590354881,263.796280831195,1431.9729737271,1200.48140620051,2289.22931003581,1032.85565686349
"FruMARCM-F000270_seg001",214.261053243955,261.427730475762,1962.12743493238,254.751640055317,4202.62577848988,2324.66496138685,1965.51170735622,199.205927517298,116.181367651412,2724.85457411723,-62.4129887365062,423.786075704027,2760.45802762153,2394.43706973742,2785.30479894511,1829.08128970742,764.593093529264,-34.3644163844608,304.695017029637,3593.88834922762
"FruMARCM-F001115_seg002",165.44293829916,-66.8539202016553,91.7305642998436,-520.258099965038,698.918651838782,4567.08113055404,1802.56305562013,-997.701271408901,-297.658504125766,617.531097698923,119.239907101679,303.382378696421,80.9527434926159,105.863263308055,2232.04321293171,855.727007086606,1142.60168511687,-730.459129154074,-149.509890801484,1775.09841628007
"FruMARCM-M001051_seg002",154.535891212563,-295.891567521196,1259.18024330209,140.816428470168,2069.14815922345,2828.72810666798,4703.7518875781,-394.102647693681,327.977830764414,1845.83934812531,-44.733557222766,-47.5156454696551,1781.1787034123,1676.84707913271,3691.26454454148,2262.90371941519,606.715602233755,-756.502450223397,-436.777254987174,2878.52895222707
"GadMARCM-F000423_seg001",430.864374465578,263.596689119007,1075.50543337767,1772.85061769336,370.017240928902,67.5940343836897,-150.492772117229,4726.53034708211,975.896063592745,1384.48213105836,-361.344942117445,365.29230563421,1243.79551651069,1377.59423367132,392.405350493392,-291.421843511581,181.512111761005,1461.84845100828,1046.4601892745,704.029634794538
"ChaMARCM-F000586_seg002",421.746469700235,-71.3861976227101,62.4873875604666,1914.82237877505,241.878772064699,603.335827117393,669.568783818796,723.196089721498,4760.69803633813,222.782096820153,1521.877580723,890.240057300567,-14.6076438224165,-66.4756713456717,989.455707485512,1009.19465140569,975.095952576834,636.376880236007,875.820139632512,939.743557602972
"FruMARCM-M001339_seg001",121.665523938529,278.465534443543,2889.29187636151,433.93396398675,2537.37037210738,2081.84154904786,1722.63963309267,1105.81605032165,43.8252266718995,4965.70417187422,-244.869326253352,187.062835684422,3529.90181009182,3274.28697393507,2638.68166958048,1606.10178636906,265.824168510196,200.062416774366,132.742441489254,2969.31757288577
